City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tuktoyaktuk,75,CA,1635622816,93,69.4541,-133.0374,17.6,9.22
Bethel,90,US,1635622716,91,41.3712,-73.414,62.73,8.05
Isangel,0,VU,1635622817,75,-19.55,169.2667,77.4,4.5
Punta Arenas,0,CL,1635622711,43,-53.15,-70.9167,51.91,18.41
Vaini,40,TO,1635622818,88,-21.2,-175.2,75.36,9.22
Tiksi,95,RU,1635622818,96,71.6872,128.8694,-1.53,7.87
Yangi Marg`ilon,100,UZ,1635622819,70,40.4272,71.7189,43.52,6.91
Airai,35,TL,1635622819,91,-8.9266,125.4092,61.72,1.19
Esperance,6,AU,1635622819,70,-33.8667,121.9,53.44,14.97
São João da Barra,100,BR,1635622680,88,-21.6403,-41.0511,73.49,11.65
Bredasdorp,73,ZA,1635622820,88,-34.5322,20.0403,59.29,3.44
Grindavik,0,IS,1635622821,93,63.8424,-22.4338,39.15,10.36
Ushuaia,0,AR,1635622601,46,-54.8,-68.3,51.46,18.41
Ribeira Grande,75,PT,1635622771,83,38.5167,-28.7,70.2,18.41
Rikitea,100,PF,1635622821,85,-23.1203,-134.9692,75.0,21.14
Amurzet,18,RU,1635622822,47,47.6967,131.0981,29.86,8.66
Can Tho,40,VN,1635622822,94,10.0333,105.7833,78.78,4.61
Kodār,89,IN,1635622823,92,16.9833,79.9667,74.3,3.56
Cherskiy,100,RU,1635622824,98,68.75,161.3,-0.9,5.59
Salalah,0,OM,1635622659,65,17.0151,54.0924,82.49,5.75
Castro,73,BR,1635622696,84,-24.7911,-50.0119,67.64,9.35
Sept-Îles,40,CA,1635622824,72,50.2001,-66.3821,50.52,4.0
Lagos,100,NG,1635622592,86,6.5833,3.75,82.72,4.83
Banda Aceh,100,ID,1635622825,82,5.5577,95.3222,78.3,5.39
Abéché,79,TD,1635622826,16,13.8292,20.8324,85.77,7.9
Ponta do Sol,32,PT,1635622773,77,32.6667,-17.1,74.03,7.25
Pevek,100,RU,1635622827,96,69.7008,170.3133,-2.96,10.63
Lake Charles,1,US,1635622827,41,30.2131,-93.2044,75.18,9.22
Carnarvon,0,AU,1635622682,68,-24.8667,113.6333,66.27,16.11
Arraial do Cabo,75,BR,1635622828,83,-22.9661,-42.0278,73.26,12.66
Tierralta,96,CO,1635622828,71,8.1736,-76.0592,84.7,1.41
Cape Town,0,ZA,1635622796,74,-33.9258,18.4232,64.09,1.99
Yibin,100,CN,1635622601,94,28.7667,104.6238,60.35,3.87
Paamiut,100,GL,1635622830,79,61.994,-49.6678,31.87,13.78
Pemangkat,37,ID,1635622830,84,1.1667,108.9667,79.12,1.68
Leningradskiy,99,RU,1635622831,96,69.3833,178.4167,-2.0,6.06
Sittwe,44,MM,1635622831,80,20.15,92.9,78.57,4.83
Plettenberg Bay,2,ZA,1635622832,91,-34.0527,23.3716,59.09,3.36
Pampierstad,0,ZA,1635622540,30,-27.7832,24.6877,67.89,7.14
Mount Isa,55,AU,1635622832,23,-20.7333,139.5,74.97,10.36
Pombia,75,IT,1635622833,88,45.653,8.6336,52.52,8.05
Tasiilaq,83,GL,1635622833,62,65.6145,-37.6368,24.96,6.17
Dudinka,100,RU,1635622834,96,69.4058,86.1778,11.77,4.0
Saint Paul Harbor,90,US,1635622834,87,57.79,-152.4072,47.71,29.93
Bluff,89,NZ,1635622835,66,-46.6,168.3333,54.91,20.27
Belaya Gora,99,RU,1635622835,98,68.5333,146.4167,0.52,4.32
Norman Wells,90,CA,1635622836,93,65.282,-126.8329,17.64,5.75
Barrow,90,US,1635622836,86,71.2906,-156.7887,15.82,5.75
Namatanai,95,PG,1635622837,80,-3.6667,152.4333,80.29,6.96
Sol'vychegodsk,100,RU,1635622837,100,61.3305,46.9156,38.57,4.54
Nantucket,100,US,1635622838,90,41.2835,-70.0995,63.97,21.92
Kushmurun,100,KZ,1635622839,75,52.4503,64.6311,41.52,21.07
Guerrero Negro,0,MX,1635622839,51,27.9769,-114.0611,75.69,11.27
Albany,96,US,1635622840,89,42.6001,-73.9662,60.22,3.0
Alofi,100,NU,1635622840,78,-19.0595,-169.9187,76.89,10.36
New Norfolk,83,AU,1635622840,60,-42.7826,147.0587,52.92,4.0
Mataura,100,NZ,1635622841,56,-46.1927,168.8643,55.26,8.21
Mehamn,93,NO,1635622841,76,71.0357,27.8492,38.53,4.47
Saint-Philippe,100,RE,1635622842,80,-21.3585,55.7679,71.15,4.12
Mahébourg,40,MU,1635622842,88,-20.4081,57.7,71.89,3.44
Melville,20,US,1635622843,77,40.7934,-73.4151,64.85,1.99
Riyadh,38,SA,1635622843,37,24.6877,46.7219,77.14,7.61
Puerto Ayora,91,EC,1635622844,80,-0.7393,-90.3518,76.96,8.55
Butaritari,39,KI,1635622604,72,3.0707,172.7902,82.53,6.44
Hermanus,77,ZA,1635622844,83,-34.4187,19.2345,61.9,9.69
Atuona,5,PF,1635622845,67,-9.8,-139.0333,77.85,17.27
